series,Timestamp,value,label
seriesA,2016-02-03T19:30:00.000Z,4.438,
seriesA,2016-02-03T19:34:59.000Z,4.448,
seriesA,2016-02-03T19:39:59.000Z,4.46,
seriesA,2016-02-03T19:44:59.000Z,4.445,
seriesA,2016-02-03T19:49:59.000Z,4.464,
seriesA,2016-02-03T19:54:59.000Z,4.48,
seriesA,2016-02-03T19:59:59.000Z,4.472,
seriesA,2016-02-03T20:04:59.000Z,4.496,
seriesA,2016-02-03T20:09:59.000Z,4.511,
seriesA,2016-02-03T20:14:59.000Z,4.489,
seriesA,2016-02-03T20:19:59.000Z,4.504,
seriesA,2016-02-03T20:24:59.000Z,4.529,
seriesA,2016-02-03T20:29:59.000Z,4.55,
seriesA,2016-02-03T20:34:59.000Z,4.524,
seriesA,2016-02-03T20:40:00.000Z,4.529,
seriesA,2016-02-03T20:44:59.000Z,4.549,
seriesA,2016-02-03T20:49:59.000Z,4.573,
seriesA,2016-02-03T20:54:59.000Z,4.559,
seriesA,2016-02-03T20:59:59.000Z,4.583,
seriesA,2016-02-03T21:04:59.000Z,4.607,
seriesA,2016-02-03T21:09:59.000Z,4.621,
seriesA,2016-02-03T21:14:59.000Z,4.61,
seriesA,2016-02-03T21:19:59.000Z,4.629,
seriesA,2016-02-03T21:24:59.000Z,4.652,
seriesA,2016-02-03T21:30:00.000Z,4.636,
seriesA,2016-02-03T21:34:59.000Z,4.645,
seriesA,2016-02-03T21:39:59.000Z,4.662,
seriesA,2016-02-03T21:44:59.000Z,4.677,
seriesA,2016-02-03T21:49:59.000Z,4.699,
seriesA,2016-02-03T21:54:59.000Z,4.692,
seriesA,2016-02-03T21:59:59.000Z,4.69,
seriesA,2016-02-03T22:04:59.000Z,4.703,
seriesA,2016-02-03T22:09:59.000Z,4.71,
seriesA,2016-02-03T22:14:59.000Z,4.713,
seriesA,2016-02-03T22:19:59.000Z,4.717,
seriesA,2016-02-03T22:24:59.000Z,4.726,
seriesA,2016-02-03T22:29:59.000Z,4.737,
seriesA,2016-02-03T22:34:59.000Z,4.731,
seriesA,2016-02-03T22:39:59.000Z,4.743,
seriesA,2016-02-03T22:45:00.000Z,4.751,
seriesA,2016-02-03T22:49:59.000Z,4.762,
seriesA,2016-02-03T22:54:59.000Z,4.749,
seriesA,2016-02-03T22:59:59.000Z,4.757,
seriesA,2016-02-03T23:04:59.000Z,4.783,
seriesA,2016-02-03T23:09:59.000Z,4.76,
seriesA,2016-02-03T23:14:59.000Z,4.753,
seriesA,2016-02-03T23:19:59.000Z,4.764,
seriesA,2016-02-03T23:24:59.000Z,4.764,
seriesA,2016-02-03T23:29:59.000Z,4.759,
seriesA,2016-02-03T23:34:59.000Z,4.762,
seriesA,2016-02-03T23:39:59.000Z,4.767,
seriesA,2016-02-03T23:44:59.000Z,4.767,
seriesA,2016-02-03T23:49:59.000Z,4.71,3
seriesA,2016-02-03T23:54:59.000Z,4.74,
seriesA,2016-02-03T23:59:59.000Z,4.757,
seriesA,2016-02-04T00:04:59.000Z,4.75,
