series,Timestamp,value,label
seriesA,2023-08-01T00:00:00.000Z,4.617,
seriesA,2023-08-01T00:01:00.000Z,4.62,
seriesA,2023-08-01T00:02:00.000Z,4.625,
seriesA,2023-08-01T00:03:00.000Z,4.631,
seriesA,2023-08-01T00:04:00.000Z,4.636,
seriesA,2023-08-01T00:05:00.000Z,4.639,
seriesA,2023-08-01T00:06:00.000Z,4.647,
seriesA,2023-08-01T00:07:00.000Z,4.655,
seriesA,2023-08-01T00:08:00.000Z,4.663,
seriesA,2023-08-01T00:09:00.000Z,4.662,
seriesA,2023-08-01T00:10:00.000Z,4.665,
seriesA,2023-08-01T00:11:00.000Z,4.675,
seriesA,2023-08-01T00:12:00.000Z,4.682,
seriesA,2023-08-01T00:13:00.000Z,4.684,
seriesA,2023-08-01T00:14:00.000Z,4.686,
seriesA,2023-08-01T00:15:00.000Z,4.699,
seriesA,2023-08-01T00:16:00.000Z,4.707,
seriesA,2023-08-01T00:17:00.000Z,4.705,
seriesA,2023-08-01T00:18:00.000Z,4.707,
seriesA,2023-08-01T00:19:00.000Z,4.719,
seriesA,2023-08-01T00:20:00.000Z,4.726,
seriesA,2023-08-01T00:21:00.000Z,4.722,
seriesA,2023-08-01T00:22:00.000Z,4.725,
seriesA,2023-08-01T00:23:00.000Z,4.736,
seriesA,2023-08-01T00:24:00.000Z,4.744,
seriesA,2023-08-01T00:25:00.000Z,4.739,
seriesA,2023-08-01T00:26:00.000Z,4.745,
seriesA,2023-08-01T00:27:00.000Z,4.757,
seriesA,2023-08-01T00:28:00.000Z,4.765,
seriesA,2023-08-01T00:29:00.000Z,4.765,
seriesA,2023-08-01T00:30:00.000Z,4.771,
seriesA,2023-08-01T00:31:00.000Z,4.781,
seriesA,2023-08-01T00:32:00.000Z,4.783,
seriesA,2023-08-01T00:33:00.000Z,4.785,
seriesA,2023-08-01T00:34:00.000Z,4.788,
seriesA,2023-08-01T00:35:00.000Z,4.797,
seriesA,2023-08-01T00:36:00.000Z,4.8,
seriesA,2023-08-01T00:37:00.000Z,4.807,
seriesA,2023-08-01T00:38:00.000Z,4.811,
seriesA,2023-08-01T00:39:00.000Z,4.811,
seriesA,2023-08-01T00:40:00.000Z,4.815,
seriesA,2023-08-01T00:41:00.000Z,4.82,
seriesA,2023-08-01T00:42:00.000Z,4.826,
seriesA,2023-08-01T00:43:00.000Z,4.829,
seriesA,2023-08-01T00:44:00.000Z,4.834,
seriesA,2023-08-01T00:45:00.000Z,4.842,
seriesA,2023-08-01T00:46:00.000Z,4.843,
seriesA,2023-08-01T00:47:00.000Z,4.842,
seriesA,2023-08-01T00:48:00.000Z,4.851,
seriesA,2023-08-01T00:49:00.000Z,4.859,
seriesA,2023-08-01T00:50:00.000Z,4.859,
seriesA,2023-08-01T00:51:00.000Z,4.857,
seriesA,2023-08-01T00:52:00.000Z,4.867,
seriesA,2023-08-01T00:53:00.000Z,4.874,
seriesA,2023-08-01T00:54:00.000Z,4.87,
seriesA,2023-08-01T00:55:00.000Z,4.871,
seriesA,2023-08-01T00:56:00.000Z,4.885,
seriesA,2023-08-01T00:57:00.000Z,4.889,
seriesA,2023-08-01T00:58:00.000Z,4.883,
seriesA,2023-08-01T00:59:00.000Z,4.888,
seriesA,2023-08-01T01:00:00.000Z,4.899,
seriesA,2023-08-01T01:01:00.000Z,4.9,
seriesA,2023-08-01T01:02:00.000Z,4.894,
seriesA,2023-08-01T01:03:00.000Z,4.9,
seriesA,2023-08-01T01:04:00.000Z,4.911,
seriesA,2023-08-01T01:05:00.000Z,4.911,
seriesA,2023-08-01T01:06:00.000Z,4.907,
seriesA,2023-08-01T01:07:00.000Z,4.915,
seriesA,2023-08-01T01:08:00.000Z,4.925,
seriesA,2023-08-01T01:09:00.000Z,4.919,
seriesA,2023-08-01T01:10:00.000Z,4.914,
seriesA,2023-08-01T01:11:00.000Z,4.925,
seriesA,2023-08-01T01:12:00.000Z,4.934,
seriesA,2023-08-01T01:13:00.000Z,4.929,
seriesA,2023-08-01T01:14:00.000Z,4.93,
seriesA,2023-08-01T01:15:00.000Z,4.943,
seriesA,2023-08-01T01:16:00.000Z,4.947,
seriesA,2023-08-01T01:17:00.000Z,4.942,
seriesA,2023-08-01T01:18:00.000Z,4.943,
seriesA,2023-08-01T01:19:00.000Z,4.953,
seriesA,2023-08-01T01:20:00.000Z,4.958,
seriesA,2023-08-01T01:21:00.000Z,4.959,
seriesA,2023-08-01T01:22:00.000Z,4.959,
seriesA,2023-08-01T01:23:00.000Z,4.964,
seriesA,2023-08-01T01:24:00.000Z,4.965,
seriesA,2023-08-01T01:25:00.000Z,4.962,
seriesA,2023-08-01T01:26:00.000Z,4.967,
seriesA,2023-08-01T01:27:00.000Z,4.972,
seriesA,2023-08-01T01:28:00.000Z,4.974,
seriesA,2023-08-01T01:29:00.000Z,4.975,
seriesA,2023-08-01T01:30:00.000Z,4.98,
seriesA,2023-08-01T01:31:00.000Z,4.981,
seriesA,2023-08-01T01:32:00.000Z,4.983,
seriesA,2023-08-01T01:33:00.000Z,4.986,
seriesA,2023-08-01T01:34:00.000Z,4.993,
seriesA,2023-08-01T01:35:00.000Z,4.993,
seriesA,2023-08-01T01:36:00.000Z,4.99,
seriesA,2023-08-01T01:37:00.000Z,4.994,
seriesA,2023-08-01T01:38:00.000Z,4.997,
seriesA,2023-08-01T01:39:00.000Z,5,
seriesA,2023-08-01T01:40:00.000Z,5.001,
seriesA,2023-08-01T01:41:00.000Z,5.004,
seriesA,2023-08-01T01:42:00.000Z,5.008,
seriesA,2023-08-01T01:43:00.000Z,5.005,
seriesA,2023-08-01T01:45:00.000Z,5.012,
seriesA,2023-08-01T01:46:00.000Z,5.01,
seriesA,2023-08-01T01:47:00.000Z,5.014,
seriesA,2023-08-01T01:48:00.000Z,5.017,
seriesA,2023-08-01T01:49:00.000Z,5.015,
seriesA,2023-08-01T01:50:00.000Z,5.016,
seriesA,2023-08-01T01:51:00.000Z,5.018,
seriesA,2023-08-01T01:52:00.000Z,5.021,
seriesA,2023-08-01T01:53:00.000Z,5.019,
seriesA,2023-08-01T01:54:00.000Z,5.021,
seriesA,2023-08-01T01:55:00.000Z,5.024,
seriesA,2023-08-01T01:56:00.000Z,5.026,
seriesA,2023-08-01T01:57:00.000Z,5.02,
seriesA,2023-08-01T01:58:00.000Z,5.022,
seriesA,2023-08-01T01:59:00.000Z,5.03,
seriesA,2023-08-01T02:00:00.000Z,5.032,
seriesA,2023-08-01T02:01:00.000Z,5.029,
seriesA,2023-08-01T02:02:00.000Z,5.029,
seriesA,2023-08-01T02:03:00.000Z,5.037,
seriesA,2023-08-01T02:04:00.000Z,5.036,
seriesA,2023-08-01T02:05:00.000Z,5.03,
seriesA,2023-08-01T02:06:00.000Z,5.032,
seriesA,2023-08-01T02:07:00.000Z,5.037,
seriesA,2023-08-01T02:08:00.000Z,5.038,
seriesA,2023-08-01T02:09:00.000Z,5.033,
seriesA,2023-08-01T02:10:00.000Z,5.036,
seriesA,2023-08-01T02:11:00.000Z,5.037,
seriesA,2023-08-01T02:12:00.000Z,5.035,
seriesA,2023-08-01T02:13:00.000Z,5.032,
seriesA,2023-08-01T02:14:00.000Z,5.033,
seriesA,2023-08-01T02:15:00.000Z,5.038,
seriesA,2023-08-01T02:16:00.000Z,5.039,
seriesA,2023-08-01T02:17:00.000Z,5.035,
seriesA,2023-08-01T02:18:00.000Z,5.037,
seriesA,2023-08-01T02:19:00.000Z,5.04,
seriesA,2023-08-01T02:20:00.000Z,5.039,
seriesA,2023-08-01T02:21:00.000Z,5.036,
seriesA,2023-08-01T02:22:00.000Z,5.034,
seriesA,2023-08-01T02:23:00.000Z,5.035,
seriesA,2023-08-01T02:24:00.000Z,5.037,
seriesA,2023-08-01T02:25:00.000Z,5.035,
seriesA,2023-08-01T02:26:00.000Z,5.034,
seriesA,2023-08-01T02:27:00.000Z,5.032,
seriesA,2023-08-01T02:28:00.000Z,5.037,
seriesA,2023-08-01T02:29:00.000Z,5.036,
seriesA,2023-08-01T02:30:00.000Z,5.03,
seriesA,2023-08-01T02:31:00.000Z,5.033,
seriesA,2023-08-01T02:32:00.000Z,5.037,
seriesA,2023-08-01T02:33:00.000Z,5.034,
seriesA,2023-08-01T02:34:00.000Z,5.03,
seriesA,2023-08-01T02:35:00.000Z,5.026,
seriesA,2023-08-01T02:36:00.000Z,5.032,
seriesA,2023-08-01T02:37:00.000Z,5.029,
seriesA,2023-08-01T02:38:00.000Z,5.022,
seriesA,2023-08-01T02:39:00.000Z,5.022,
seriesA,2023-08-01T02:40:00.000Z,5.027,
seriesA,2023-08-01T02:41:00.000Z,5.025,
seriesA,2023-08-01T02:42:00.000Z,5.014,
seriesA,2023-08-01T02:43:00.000Z,5.017,
seriesA,2023-08-01T02:44:00.000Z,5.02,
seriesA,2023-08-01T02:45:00.000Z,5.02,
seriesA,2023-08-01T02:46:00.000Z,5.013,
seriesA,2023-08-01T02:47:00.000Z,5.01,
seriesA,2023-08-01T02:48:00.000Z,5.016,
seriesA,2023-08-01T02:49:00.000Z,5.014,
seriesA,2023-08-01T02:50:00.000Z,5.009,
seriesA,2023-08-01T02:51:00.000Z,5.005,
seriesA,2023-08-01T02:52:00.000Z,5.009,
seriesA,2023-08-01T02:53:00.000Z,5.008,
seriesA,2023-08-01T02:54:00.000Z,5.002,
seriesA,2023-08-01T02:55:00.000Z,4.999,
seriesA,2023-08-01T02:56:00.000Z,5.002,
seriesA,2023-08-01T02:57:00.000Z,5.002,
seriesA,2023-08-01T02:58:00.000Z,4.996,
seriesA,2023-08-01T02:59:00.000Z,4.993,
seriesA,2023-08-01T03:00:00.000Z,4.993,
seriesA,2023-08-01T03:01:00.000Z,4.995,
seriesA,2023-08-01T03:02:00.000Z,4.99,
seriesA,2023-08-01T03:03:00.000Z,4.987,
seriesA,2023-08-01T03:04:00.000Z,4.984,
seriesA,2023-08-01T03:05:00.000Z,4.986,
seriesA,2023-08-01T03:06:00.000Z,4.986,
seriesA,2023-08-01T03:07:00.000Z,4.979,
seriesA,2023-08-01T03:08:00.000Z,4.974,
seriesA,2023-08-01T03:09:00.000Z,4.974,
seriesA,2023-08-01T03:10:00.000Z,4.976,
seriesA,2023-08-01T03:11:00.000Z,4.969,
seriesA,2023-08-01T03:12:00.000Z,4.965,
seriesA,2023-08-01T03:13:00.000Z,4.967,
seriesA,2023-08-01T03:14:00.000Z,4.968,
seriesA,2023-08-01T03:15:00.000Z,4.959,
seriesA,2023-08-01T03:16:00.000Z,4.95,
seriesA,2023-08-01T03:17:00.000Z,4.957,
seriesA,2023-08-01T03:18:00.000Z,4.956,
seriesA,2023-08-01T03:19:00.000Z,4.948,
seriesA,2023-08-01T03:20:00.000Z,4.942,
seriesA,2023-08-01T03:21:00.000Z,4.943,
seriesA,2023-08-01T03:22:00.000Z,4.945,
seriesA,2023-08-01T03:23:00.000Z,4.934,
seriesA,2023-08-01T03:24:00.000Z,4.929,
seriesA,2023-08-01T03:25:00.000Z,4.932,
seriesA,2023-08-01T03:26:00.000Z,4.932,
seriesA,2023-08-01T03:27:00.000Z,4.925,
seriesA,2023-08-01T03:28:00.000Z,4.919,
seriesA,2023-08-01T03:29:00.000Z,4.921,
seriesA,2023-08-01T03:30:00.000Z,4.916,
seriesA,2023-08-01T03:31:00.000Z,4.91,
seriesA,2023-08-01T03:32:00.000Z,4.905,
seriesA,2023-08-01T03:33:00.000Z,4.902,
seriesA,2023-08-01T03:34:00.000Z,4.9,
seriesA,2023-08-01T03:35:00.000Z,4.895,
seriesA,2023-08-01T03:36:00.000Z,4.892,
seriesA,2023-08-01T03:37:00.000Z,4.888,
seriesA,2023-08-01T03:38:00.000Z,4.884,
seriesA,2023-08-01T03:39:00.000Z,4.881,
seriesA,2023-08-01T03:40:00.000Z,4.876,
seriesA,2023-08-01T03:41:00.000Z,4.87,
seriesA,2023-08-01T03:42:00.000Z,4.868,
seriesA,2023-08-01T03:43:00.000Z,4.865,
seriesA,2023-08-01T03:44:00.000Z,4.86,
seriesA,2023-08-01T03:45:00.000Z,4.855,
seriesA,2023-08-01T03:46:00.000Z,4.852,
seriesA,2023-08-01T03:47:00.000Z,4.849,
seriesA,2023-08-01T03:48:00.000Z,4.844,
seriesA,2023-08-01T03:49:00.000Z,4.837,
seriesA,2023-08-01T03:50:00.000Z,4.838,
seriesA,2023-08-01T03:51:00.000Z,4.836,
seriesA,2023-08-01T03:52:00.000Z,4.828,
seriesA,2023-08-01T03:53:00.000Z,4.82,
seriesA,2023-08-01T03:54:00.000Z,4.822,
seriesA,2023-08-01T03:55:00.000Z,4.818,
