series,Timestamp,value,label
seriesA,2024-10-15T00:00:00.000Z,4.568,
seriesA,2024-10-15T00:02:00.000Z,4.567,
seriesA,2024-10-15T00:03:00.000Z,4.567,
seriesA,2024-10-15T00:04:00.000Z,4.703,3
seriesA,2024-10-15T00:06:00.000Z,4.571,
seriesA,2024-10-15T00:07:00.000Z,4.569,
seriesA,2024-10-15T00:08:00.000Z,4.71,3
seriesA,2024-10-15T00:09:00.000Z,4.579,
seriesA,2024-10-15T00:10:00.000Z,4.572,
seriesA,2024-10-15T00:12:00.000Z,4.584,
seriesA,2024-10-15T00:14:00.000Z,4.575,
seriesA,2024-10-15T00:16:00.000Z,4.713,3
seriesA,2024-10-15T00:18:00.000Z,4.573,
seriesA,2024-10-15T00:20:00.000Z,4.583,
seriesA,2024-10-15T00:21:00.000Z,4.712,3
seriesA,2024-10-15T00:23:00.000Z,4.578,
seriesA,2024-10-15T00:25:00.000Z,4.581,
seriesA,2024-10-15T00:27:00.000Z,4.707,3
seriesA,2024-10-15T00:30:00.000Z,4.582,
seriesA,2024-10-15T00:32:00.000Z,4.582,
seriesA,2024-10-15T00:34:00.000Z,4.706,3
seriesA,2024-10-15T00:36:00.000Z,4.582,
seriesA,2024-10-15T00:37:00.000Z,4.576,
seriesA,2024-10-15T00:38:00.000Z,4.701,3
seriesA,2024-10-15T00:40:00.000Z,4.575,
seriesA,2024-10-15T00:41:00.000Z,4.579,
seriesA,2024-10-15T00:42:00.000Z,4.694,3
seriesA,2024-10-15T00:43:00.000Z,4.568,
seriesA,2024-10-15T00:45:00.000Z,4.566,
seriesA,2024-10-15T00:47:00.000Z,4.559,
seriesA,2024-10-15T00:49:00.000Z,4.563,
seriesA,2024-10-15T00:51:00.000Z,4.562,
seriesA,2024-10-15T00:52:00.000Z,4.565,
seriesA,2024-10-15T00:53:00.000Z,4.696,3
seriesA,2024-10-15T00:54:00.000Z,4.56,
seriesA,2024-10-15T00:55:00.000Z,4.551,
seriesA,2024-10-15T00:57:00.000Z,4.694,3
seriesA,2024-10-15T00:59:00.000Z,4.547,
seriesA,2024-10-15T01:01:00.000Z,4.547,
seriesA,2024-10-15T01:02:00.000Z,4.681,3
seriesA,2024-10-15T01:03:00.000Z,4.543,
seriesA,2024-10-15T01:04:00.000Z,4.545,
seriesA,2024-10-15T01:06:00.000Z,4.672,3
seriesA,2024-10-15T01:08:00.000Z,4.532,
seriesA,2024-10-15T01:10:00.000Z,4.535,
seriesA,2024-10-15T01:11:00.000Z,4.529,
seriesA,2024-10-15T01:13:00.000Z,4.519,
seriesA,2024-10-15T01:15:00.000Z,4.657,3
seriesA,2024-10-15T01:16:00.000Z,4.52,
seriesA,2024-10-15T01:17:00.000Z,4.514,
seriesA,2024-10-15T01:18:00.000Z,4.65,3
seriesA,2024-10-15T01:19:00.000Z,4.517,
seriesA,2024-10-15T01:20:00.000Z,4.637,3
seriesA,2024-10-15T01:22:00.000Z,4.498,
seriesA,2024-10-15T01:24:00.000Z,4.497,
seriesA,2024-10-15T01:26:00.000Z,4.628,3
seriesA,2024-10-15T01:27:00.000Z,4.493,
seriesA,2024-10-15T01:28:00.000Z,4.498,
seriesA,2024-10-15T01:29:00.000Z,4.609,3
seriesA,2024-10-15T01:31:00.000Z,4.489,
